Timestamp, Position (X, Y, Z), Rotation (X, Y, Z, W)
2.369599, 0, 3.442, 11.91145, 0, 0, 0, 1
2.376375, 0, 3.442, 11.948, 0, 0, 0, 1
2.383872, 0, 3.442, 11.98188, 0, 0, 0, 1
2.389672, 0, 3.442, 12.01936, 0, 0, 0, 1
2.395056, 0, 3.442, 12.04836, 0, 0, 0, 1
2.401559, 0, 3.442, 12.07528, 0, 0, 0, 1
2.407938, 0, 3.442, 12.1078, 0, 0, 0, 1
2.414831, 0, 3.442, 12.13969, 0, 0, 0, 1
2.42089, 0, 3.442, 12.17416, 0, 0, 0, 1
2.429124, 0, 3.442, 12.20445, 0, 0, 0, 1
2.434038, 0, 3.442, 12.24562, 0, 0, 0, 1
2.440201, 0, 3.442, 12.27019, 0, 0, 0, 1
2.446892, 0, 3.442, 12.30101, 0, 0, 0, 1
2.466379, 0, 3.442, 12.33446, 0, 0, 0, 1
2.475527, 0, 3.442, 12.4319, 0, 0, 0, 1
2.480906, 0, 3.442, 12.47764, 0, 0, 0, 1
2.487731, 0, 3.442, 12.50453, 0, 0, 0, 1
2.493171, 0, 3.442, 12.53866, 0, 0, 0, 1
2.498315, 0, 3.442, 12.56586, 0, 0, 0, 1
2.50471, 0, 3.442, 12.59158, 0, 0, 0, 1
2.511411, 0, 3.442, 12.62356, 0, 0, 0, 1
2.517826, 0, 3.442, 12.65706, 0, 0, 0, 1
2.523087, 0, 3.442, 12.68913, 0, 0, 0, 1
2.528709, 0, 3.442, 12.71544, 0, 0, 0, 1
2.534963, 0, 3.442, 12.74355, 0, 0, 0, 1
2.541662, 0, 3.442, 12.77482, 0, 0, 0, 1
2.547483, 0, 3.442, 12.80831, 0, 0, 0, 1
2.552986, 0, 3.442, 12.83742, 0, 0, 0, 1
2.558751, 0, 3.442, 12.86493, 0, 0, 0, 1
2.564111, 0, 3.442, 12.89376, 0, 0, 0, 1
2.569925, 0, 3.442, 12.92056, 0, 0, 0, 1
2.575853, 0, 3.442, 12.94963, 0, 0, 0, 1
2.580857, 0, 3.442, 12.97927, 0, 0, 0, 1
2.586901, 0, 3.442, 13.00429, 0, 0, 0, 1
2.591894, 0, 3.442, 13.03451, 0, 0, 0, 1
2.598261, 0, 3.442, 13.05947, 0, 0, 0, 1
2.613966, 0, 3.442, 13.09131, 0, 0, 0, 1
2.621964, 0, 3.442, 13.16984, 0, 0, 0, 1
2.628609, 0, 3.442, 13.20982, 0, 0, 0, 1
2.633399, 0, 3.442, 13.24305, 0, 0, 0, 1
2.638923, 0, 3.442, 13.267, 0, 0, 0, 1
2.647471, 0, 3.442, 13.29462, 0, 0, 0, 1
2.65314, 0, 3.442, 13.33736, 0, 0, 0, 1
2.659809, 0, 3.442, 13.3657, 0, 0, 0, 1
2.665335, 0, 3.442, 13.39905, 0, 0, 0, 1
2.671356, 0, 3.442, 13.42668, 0, 0, 0, 1
2.67654, 0, 3.442, 13.45678, 0, 0, 0, 1
2.682098, 0, 3.442, 13.4827, 0, 0, 0, 1
2.689095, 0, 3.442, 13.5105, 0, 0, 0, 1
2.69445, 0, 3.442, 13.54548, 0, 0, 0, 1
2.699397, 0, 3.442, 13.57226, 0, 0, 0, 1
2.704479, 0, 3.442, 13.59699, 0, 0, 0, 1
2.710297, 0, 3.442, 13.6224, 0, 0, 0, 1
2.716516, 0, 3.442, 13.65149, 0, 0, 0, 1
2.725255, 0, 3.442, 13.68258, 0, 0, 0, 1
2.730882, 0, 3.442, 13.72628, 0, 0, 0, 1
2.737197, 0, 3.442, 13.75442, 0, 0, 0, 1
